arm,node,span,status,count
trace-c1-r0,1,follower_driver_step_to_response_offered,observation_loss,580
trace-c1-r0,1,follower_validated_to_driver_step,observation_loss,580
trace-c1-r0,1,group_admitted_to_quorum_confirmed,unmatched,1
trace-c1-r0,1,group_submit_to_group_admitted,unmatched,1
trace-c1-r0,1,inbox_admitted_to_inbox_drained,matched,580
trace-c1-r0,1,inbox_offered_to_inbox_admitted,matched,580
trace-c1-r0,1,inbox_offered_to_inbox_drained,matched,580
trace-c1-r0,1,outbound_accepted_to_outbound_dequeued,matched,567
trace-c1-r0,1,outbound_accepted_to_outbound_dequeued,reversed,3
trace-c1-r0,1,outbound_accepted_to_outbound_dequeued,unmatched,10
trace-c1-r0,1,outbound_offered_to_outbound_accepted,matched,580
trace-c1-r0,1,outbound_offered_to_outbound_dequeued,matched,570
trace-c1-r0,1,outbound_offered_to_outbound_dequeued,unmatched,10
trace-c1-r0,1,quorum_confirmed_to_completion_eligible,unmatched,1
trace-c1-r0,2,group_admitted_to_quorum_confirmed,observation_loss,539
trace-c1-r0,2,group_admitted_to_quorum_confirmed,unmatched,41
trace-c1-r0,2,group_submit_to_group_admitted,observation_loss,580
trace-c1-r0,2,inbox_admitted_to_inbox_drained,matched,996
trace-c1-r0,2,inbox_admitted_to_inbox_drained,unmatched,68
trace-c1-r0,2,inbox_offered_to_inbox_admitted,matched,1034
trace-c1-r0,2,inbox_offered_to_inbox_admitted,unmatched,30
trace-c1-r0,2,inbox_offered_to_inbox_drained,matched,1026
trace-c1-r0,2,inbox_offered_to_inbox_drained,unmatched,38
trace-c1-r0,2,leader_dequeued_to_response_validated,observation_loss,1160
trace-c1-r0,2,leader_group_submit_to_heartbeat_outbound_accepted,observation_loss,1160
trace-c1-r0,2,leader_group_submit_to_heartbeat_outbound_offered,observation_loss,1160
trace-c1-r0,2,leader_response_driver_step_to_quorum_confirmed,observation_loss,1160
trace-c1-r0,2,leader_response_validated_to_driver_step,observation_loss,1160
trace-c1-r0,2,outbound_accepted_to_outbound_dequeued,matched,1029
trace-c1-r0,2,outbound_accepted_to_outbound_dequeued,reversed,2
trace-c1-r0,2,outbound_accepted_to_outbound_dequeued,unmatched,129
trace-c1-r0,2,outbound_offered_to_outbound_accepted,matched,1160
trace-c1-r0,2,outbound_offered_to_outbound_dequeued,matched,1031
trace-c1-r0,2,outbound_offered_to_outbound_dequeued,unmatched,129
trace-c1-r0,2,quorum_confirmed_to_completion_eligible,observation_loss,530
trace-c1-r0,2,quorum_confirmed_to_completion_eligible,unmatched,50
trace-c1-r0,3,follower_driver_step_to_response_offered,observation_loss,580
trace-c1-r0,3,follower_validated_to_driver_step,observation_loss,580
trace-c1-r0,3,inbox_admitted_to_inbox_drained,matched,580
trace-c1-r0,3,inbox_offered_to_inbox_admitted,matched,580
trace-c1-r0,3,inbox_offered_to_inbox_drained,matched,580
trace-c1-r0,3,outbound_accepted_to_outbound_dequeued,matched,569
trace-c1-r0,3,outbound_accepted_to_outbound_dequeued,reversed,1
trace-c1-r0,3,outbound_accepted_to_outbound_dequeued,unmatched,10
trace-c1-r0,3,outbound_offered_to_outbound_accepted,matched,580
trace-c1-r0,3,outbound_offered_to_outbound_dequeued,matched,570
trace-c1-r0,3,outbound_offered_to_outbound_dequeued,unmatched,10
trace-c1-r1,1,follower_driver_step_to_response_offered,ambiguous_repeated_context_or_term,1
trace-c1-r1,1,follower_driver_step_to_response_offered,observation_loss,573
trace-c1-r1,1,follower_validated_to_driver_step,ambiguous_repeated_context_or_term,1
trace-c1-r1,1,follower_validated_to_driver_step,observation_loss,573
trace-c1-r1,1,group_admitted_to_quorum_confirmed,unmatched,1
trace-c1-r1,1,group_submit_to_group_admitted,unmatched,1
trace-c1-r1,1,inbox_admitted_to_inbox_drained,matched,575
trace-c1-r1,1,inbox_offered_to_inbox_admitted,matched,575
trace-c1-r1,1,inbox_offered_to_inbox_drained,matched,575
trace-c1-r1,1,outbound_accepted_to_outbound_dequeued,matched,564
trace-c1-r1,1,outbound_accepted_to_outbound_dequeued,reversed,1
