arm,node,stage,offered,selected,recorded,contended,poisoned,full,exhausted,recorded_group,recorded_heartbeat,recorded_heartbeat_response
trace-c1-r0,1,completion_eligible,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,driver_step,148376,580,580,0,0,0,0,0,580,0
trace-c1-r0,1,encoding_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,group_admitted,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,group_closed,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,group_deferred,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,group_refused,1,1,1,0,0,0,0,1,0,0
trace-c1-r0,1,group_submit,1,1,1,0,0,0,0,1,0,0
trace-c1-r0,1,inbound_validated,148376,580,580,0,0,0,0,0,580,0
trace-c1-r0,1,inbox_admitted,580,580,580,0,0,0,0,0,580,0
trace-c1-r0,1,inbox_drained,580,580,580,0,0,0,0,0,580,0
trace-c1-r0,1,inbox_offered,148376,580,580,0,0,0,0,0,580,0
trace-c1-r0,1,inbox_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,masked_outbound,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,members_uncovered,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,outbound_accepted,580,580,580,0,0,0,0,0,0,580
trace-c1-r0,1,outbound_dequeued,580,580,570,10,0,0,0,0,0,570
trace-c1-r0,1,outbound_offered,148376,580,580,0,0,0,0,0,0,580
trace-c1-r0,1,outbound_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,queue_abandoned,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,quorum_confirmed,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,route_discarded,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,1,unknown_peer,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,completion_eligible,148307,580,541,39,0,0,0,541,0,0
trace-c1-r0,2,driver_step,296752,1160,1109,51,0,0,0,0,0,1109
trace-c1-r0,2,encoding_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,group_admitted,148307,580,580,0,0,0,0,580,0,0
trace-c1-r0,2,group_closed,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,group_deferred,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,group_refused,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,group_submit,148307,580,580,0,0,0,0,580,0,0
trace-c1-r0,2,inbound_validated,296752,1160,1054,106,0,0,0,0,0,1054
trace-c1-r0,2,inbox_admitted,1064,1064,1034,30,0,0,0,0,0,1034
trace-c1-r0,2,inbox_drained,1064,1064,1026,38,0,0,0,0,0,1026
trace-c1-r0,2,inbox_offered,296752,1160,1064,96,0,0,0,0,0,1064
trace-c1-r0,2,inbox_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,masked_outbound,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,members_uncovered,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,outbound_accepted,1160,1160,1160,0,0,0,0,0,1160,0
trace-c1-r0,2,outbound_dequeued,1160,1160,1031,129,0,0,0,0,1031,0
trace-c1-r0,2,outbound_offered,296752,1160,1160,0,0,0,0,0,1160,0
trace-c1-r0,2,outbound_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,queue_abandoned,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,quorum_confirmed,148307,580,539,41,0,0,0,539,0,0
trace-c1-r0,2,route_discarded,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,2,unknown_peer,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,completion_eligible,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,driver_step,148376,580,580,0,0,0,0,0,580,0
trace-c1-r0,3,encoding_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,group_admitted,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,group_closed,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,group_deferred,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,group_refused,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,group_submit,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,inbound_validated,148376,580,580,0,0,0,0,0,580,0
trace-c1-r0,3,inbox_admitted,580,580,580,0,0,0,0,0,580,0
trace-c1-r0,3,inbox_drained,580,580,580,0,0,0,0,0,580,0
trace-c1-r0,3,inbox_offered,148376,580,580,0,0,0,0,0,580,0
trace-c1-r0,3,inbox_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,masked_outbound,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,members_uncovered,0,0,0,0,0,0,0,0,0,0
trace-c1-r0,3,outbound_accepted,580,580,580,0,0,0,0,0,0,580
trace-c1-r0,3,outbound_dequeued,580,580,570,10,0,0,0,0,0,570
trace-c1-r0,3,outbound_offered,148376,580,580,0,0,0,0,0,0,580
