arm,node,span_status,count
trace-c1-r0,1,follower_driver_step_to_response_offered:matched,580
trace-c1-r0,1,follower_validated_to_driver_step:matched,580
trace-c1-r0,1,group_admitted_to_quorum_confirmed:unmatched,1
trace-c1-r0,1,group_submit_to_group_admitted:unmatched,1
trace-c1-r0,1,inbox_admitted_to_inbox_drained:matched,580
trace-c1-r0,1,inbox_offered_to_inbox_admitted:matched,580
trace-c1-r0,1,inbox_offered_to_inbox_drained:matched,580
trace-c1-r0,1,outbound_accepted_to_outbound_dequeued:matched,579
trace-c1-r0,1,outbound_accepted_to_outbound_dequeued:reversed,1
trace-c1-r0,1,outbound_offered_to_outbound_accepted:matched,580
trace-c1-r0,1,outbound_offered_to_outbound_dequeued:matched,580
trace-c1-r0,1,quorum_confirmed_to_completion_eligible:unmatched,1
trace-c1-r0,2,group_admitted_to_quorum_confirmed:matched,580
trace-c1-r0,2,group_submit_to_group_admitted:matched,580
trace-c1-r0,2,inbox_admitted_to_inbox_drained:matched,1160
trace-c1-r0,2,inbox_offered_to_inbox_admitted:matched,1160
trace-c1-r0,2,inbox_offered_to_inbox_drained:matched,1160
trace-c1-r0,2,leader_dequeued_to_response_validated:matched,1160
trace-c1-r0,2,leader_group_submit_to_heartbeat_outbound_accepted:matched,1160
trace-c1-r0,2,leader_group_submit_to_heartbeat_outbound_offered:matched,1160
trace-c1-r0,2,leader_response_driver_step_to_quorum_confirmed:matched,815
trace-c1-r0,2,leader_response_driver_step_to_quorum_confirmed:reversed,345
trace-c1-r0,2,leader_response_validated_to_driver_step:matched,1160
trace-c1-r0,2,outbound_accepted_to_outbound_dequeued:matched,1160
trace-c1-r0,2,outbound_offered_to_outbound_accepted:matched,1160
trace-c1-r0,2,outbound_offered_to_outbound_dequeued:matched,1160
trace-c1-r0,2,quorum_confirmed_to_completion_eligible:matched,580
trace-c1-r0,3,follower_driver_step_to_response_offered:matched,580
trace-c1-r0,3,follower_validated_to_driver_step:matched,580
trace-c1-r0,3,inbox_admitted_to_inbox_drained:matched,580
trace-c1-r0,3,inbox_offered_to_inbox_admitted:matched,580
trace-c1-r0,3,inbox_offered_to_inbox_drained:matched,580
trace-c1-r0,3,outbound_accepted_to_outbound_dequeued:matched,580
trace-c1-r0,3,outbound_offered_to_outbound_accepted:matched,580
trace-c1-r0,3,outbound_offered_to_outbound_dequeued:matched,580
trace-c1-r1,1,follower_driver_step_to_response_offered:matched,579
trace-c1-r1,1,follower_validated_to_driver_step:matched,579
trace-c1-r1,1,group_admitted_to_quorum_confirmed:unmatched,1
trace-c1-r1,1,group_submit_to_group_admitted:unmatched,1
trace-c1-r1,1,inbox_admitted_to_inbox_drained:matched,579
trace-c1-r1,1,inbox_offered_to_inbox_admitted:matched,579
trace-c1-r1,1,inbox_offered_to_inbox_drained:matched,579
trace-c1-r1,1,outbound_accepted_to_outbound_dequeued:matched,578
trace-c1-r1,1,outbound_accepted_to_outbound_dequeued:reversed,1
trace-c1-r1,1,outbound_offered_to_outbound_accepted:matched,579
trace-c1-r1,1,outbound_offered_to_outbound_dequeued:matched,579
trace-c1-r1,1,quorum_confirmed_to_completion_eligible:unmatched,1
trace-c1-r1,2,group_admitted_to_quorum_confirmed:matched,579
trace-c1-r1,2,group_submit_to_group_admitted:matched,579
trace-c1-r1,2,inbox_admitted_to_inbox_drained:matched,1158
trace-c1-r1,2,inbox_offered_to_inbox_admitted:matched,1158
trace-c1-r1,2,inbox_offered_to_inbox_drained:matched,1158
trace-c1-r1,2,leader_dequeued_to_response_validated:matched,1158
trace-c1-r1,2,leader_group_submit_to_heartbeat_outbound_accepted:matched,1158
trace-c1-r1,2,leader_group_submit_to_heartbeat_outbound_offered:matched,1158
trace-c1-r1,2,leader_response_driver_step_to_quorum_confirmed:matched,774
trace-c1-r1,2,leader_response_driver_step_to_quorum_confirmed:reversed,384
trace-c1-r1,2,leader_response_validated_to_driver_step:matched,1158
trace-c1-r1,2,outbound_accepted_to_outbound_dequeued:matched,1158
trace-c1-r1,2,outbound_offered_to_outbound_accepted:matched,1158
trace-c1-r1,2,outbound_offered_to_outbound_dequeued:matched,1158
trace-c1-r1,2,quorum_confirmed_to_completion_eligible:matched,579
trace-c1-r1,3,follower_driver_step_to_response_offered:matched,579
trace-c1-r1,3,follower_validated_to_driver_step:matched,579
trace-c1-r1,3,inbox_admitted_to_inbox_drained:matched,579
trace-c1-r1,3,inbox_offered_to_inbox_admitted:matched,579
trace-c1-r1,3,inbox_offered_to_inbox_drained:matched,579
trace-c1-r1,3,outbound_accepted_to_outbound_dequeued:matched,578
trace-c1-r1,3,outbound_accepted_to_outbound_dequeued:reversed,1
trace-c1-r1,3,outbound_offered_to_outbound_accepted:matched,579
trace-c1-r1,3,outbound_offered_to_outbound_dequeued:matched,579
