cell,node,endpoint_role,batch_class,sample_count,mean_us,p99_lower_us,p99_upper_us,abandoned_unknown_duration,offered_batches,selected_from_offers
crc-c1,1,follower,heartbeat,0,,,,0,0,0
crc-c1,1,follower,heartbeat_response,2204,0.4749065335753176,1.024,2.047,0,141043,2204
crc-c1,1,follower,append,0,,,,0,0,0
crc-c1,1,follower,append_response,128,0.6718203125,1.024,2.047,0,8187,128
crc-c1,1,follower,read_index,0,,,,0,0,0
crc-c1,1,follower,read_index_response,0,,,,0,0,0
crc-c1,1,follower,other,0,,,,0,0,0
crc-c1,1,follower,mixed,1,0.831,0.512,1.023,0,6,1
crc-c1,2,leader,heartbeat,4408,0.4440186025408348,0.512,1.023,0,282123,4408
crc-c1,2,leader,heartbeat_response,0,,,,0,0,0
crc-c1,2,leader,append,256,0.59386328125,1.024,2.047,0,16382,256
crc-c1,2,leader,append_response,0,,,,0,0,0
crc-c1,2,leader,read_index,0,,,,0,0,0
crc-c1,2,leader,read_index_response,0,,,,0,0,0
crc-c1,2,leader,other,0,,,,0,0,0
crc-c1,2,leader,mixed,1,0.421,0.256,0.511,0,6,1
crc-c1,3,follower,heartbeat,0,,,,0,0,0
crc-c1,3,follower,heartbeat_response,2204,0.46294827586206894,0.512,1.023,0,141041,2204
crc-c1,3,follower,append,0,,,,0,0,0
crc-c1,3,follower,append_response,128,0.743359375,1.024,2.047,0,8191,128
crc-c1,3,follower,read_index,0,,,,0,0,0
crc-c1,3,follower,read_index_response,0,,,,0,0,0
crc-c1,3,follower,other,0,,,,0,0,0
crc-c1,3,follower,mixed,1,0.581,0.512,1.023,0,3,1
crc-c64,1,follower,heartbeat,0,,,,0,0,0
crc-c64,1,follower,heartbeat_response,198,0.7865656565656566,4.096,8.191,0,12631,198
crc-c64,1,follower,append,0,,,,0,0,0
crc-c64,1,follower,append_response,816,1.4154938725490196,8.192,16.383,0,52231,816
crc-c64,1,follower,read_index,0,,,,0,0,0
crc-c64,1,follower,read_index_response,0,,,,0,0,0
crc-c64,1,follower,other,0,,,,0,0,0
crc-c64,1,follower,mixed,745,1.2772120805369127,4.096,8.191,0,47632,745
crc-c64,2,leader,heartbeat,480,0.9871270833333333,8.192,16.383,0,30720,480
crc-c64,2,leader,heartbeat_response,0,,,,0,0,0
crc-c64,2,leader,append,1812,2.278796357615894,16.384,32.767,0,115998,1812
crc-c64,2,leader,append_response,0,,,,0,0,0
crc-c64,2,leader,read_index,0,,,,0,0,0
crc-c64,2,leader,read_index_response,0,,,,0,0,0
crc-c64,2,leader,other,0,,,,0,0,0
crc-c64,2,leader,mixed,1808,3.2439839601769913,32.768,65.535,0,115655,1808
crc-c64,3,follower,heartbeat,0,,,,0,0,0
crc-c64,3,follower,heartbeat_response,193,1.0623886010362693,8.192,16.383,0,12367,193
crc-c64,3,follower,append,0,,,,0,0,0
crc-c64,3,follower,append_response,769,1.67984655396619,8.192,16.383,0,49223,769
crc-c64,3,follower,read_index,0,,,,0,0,0
crc-c64,3,follower,read_index_response,0,,,,0,0,0
crc-c64,3,follower,other,0,,,,0,0,0
crc-c64,3,follower,mixed,726,1.1949146005509643,8.192,16.383,0,46416,726
