repeat,concurrency,workload,role,view,operation,calls,input_items,attempts,completed_calls_per_second,successful_calls_per_second,completed_input_items_per_second,successful_input_items_per_second,mean_us,p50_lower_us,p50_upper_us,p95_lower_us,p95_upper_us,p99_lower_us,p99_upper_us,outcomes_json,reasons_json,client_cpu_cores,server_cpu_cores
0,1,point-r000,old,combined,read+write,160723,160723,160723,16072.259110565597,16072.259110565597,16072.259110565597,16072.259110565597,62.11678586761074,60.416,60.927,74.752,75.775,83.968,84.991,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 160723, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 160723}",0.12679988962617061,2.5400179350678833
0,1,point-r000,old,get,get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.12679988962617061,2.5400179350678833
0,1,point-r000,old,put,put,160723,160723,160723,16072.259110565597,16072.259110565597,16072.259110565597,16072.259110565597,62.11678586761074,60.416,60.927,74.752,75.775,83.968,84.991,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 160723, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 160723}",0.12679988962617061,2.5400179350678833
0,1,point-r000,new,combined,read+write,162898,162898,162898,16289.707189393288,16289.707189393288,16289.707189393288,16289.707189393288,61.281964407175046,59.904,60.415,72.704,73.727,82.944,83.967,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 162898, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 162898}",0.1276734728196706,2.5444437576707664
0,1,point-r000,new,get,get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.1276734728196706,2.5444437576707664
0,1,point-r000,new,put,put,162898,162898,162898,16289.707189393288,16289.707189393288,16289.707189393288,16289.707189393288,61.281964407175046,59.904,60.415,72.704,73.727,82.944,83.967,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 162898, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 162898}",0.1276734728196706,2.5444437576707664
0,1,point-r000,redis,combined,read+write,1720618,1720618,1720618,172061.7932723839,172061.7932723839,172061.7932723839,172061.7932723839,5.691728096532757,5.568,5.631,5.888,5.951,7.552,7.615,"{""read_failure"": 0, ""success"": 1720618, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 1720618}",0.6054773237202995,0.5330475919312534
0,1,point-r000,redis,get,get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""read_failure"": 0, ""success"": 0, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 0}",0.6054773237202995,0.5330475919312534
0,1,point-r000,redis,set,set,1720618,1720618,1720618,172061.7932723839,172061.7932723839,172061.7932723839,172061.7932723839,5.691728096532757,5.568,5.631,5.888,5.951,7.552,7.615,"{""read_failure"": 0, ""success"": 1720618, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 1720618}",0.6054773237202995,0.5330475919312534
0,1,point-r050,old,combined,read+write,185063,185063,185063,18506.291366815076,18506.291366815076,18506.291366815076,18506.291366815076,53.92445633649082,53.248,53.759,69.632,70.655,78.848,79.871,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 185063, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 185063}",0.14189676377937774,2.1687021570480827
