repeat,concurrency,workload,role,view,operation,calls,input_items,attempts,completed_calls_per_second,successful_calls_per_second,completed_input_items_per_second,successful_input_items_per_second,mean_us,p50_lower_us,p50_upper_us,p95_lower_us,p95_upper_us,p99_lower_us,p99_upper_us,outcomes_json,reasons_json,client_cpu_cores,server_cpu_cores
pooled 0+1,1,point-r000,old,combined,read+write,322590,322590,322590,16129.448354312843,16129.448354312843,16129.448354312843,16129.448354312843,61.89694787191172,60.416,60.927,74.752,75.775,83.968,84.991,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 322590, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 322590}",0.12717300095173284,2.540426534170553
pooled 0+1,1,point-r000,old,get,get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.12717300095173284,2.540426534170553
pooled 0+1,1,point-r000,old,put,put,322590,322590,322590,16129.448354312843,16129.448354312843,16129.448354312843,16129.448354312843,61.89694787191172,60.416,60.927,74.752,75.775,83.968,84.991,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 322590, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 322590}",0.12717300095173284,2.540426534170553
pooled 0+1,1,point-r000,new,combined,read+write,324164,324164,324164,16208.148269263576,16208.148269263576,16208.148269263576,16208.148269263576,61.59301430448785,60.416,60.927,73.728,74.751,82.944,83.967,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 324164, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 324164}",0.12768167337852596,2.54510845413694
pooled 0+1,1,point-r000,new,get,get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 0, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 0}",0.12768167337852596,2.54510845413694
pooled 0+1,1,point-r000,new,put,put,324164,324164,324164,16208.148269263576,16208.148269263576,16208.148269263576,16208.148269263576,61.59301430448785,60.416,60.927,73.728,74.751,82.944,83.967,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 324164, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 324164}",0.12768167337852596,2.54510845413694
pooled 0+1,1,point-r000,redis,combined,read+write,3439247,3439247,3439247,171962.3168456653,171962.3168456653,171962.3168456653,171962.3168456653,5.6955324822555635,5.568,5.631,5.888,5.951,7.36,7.423,"{""read_failure"": 0, ""success"": 3439247, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 3439247}",0.6038295001339803,0.5339523159567661
pooled 0+1,1,point-r000,redis,get,get,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,"{""read_failure"": 0, ""success"": 0, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 0}",0.6038295001339803,0.5339523159567661
pooled 0+1,1,point-r000,redis,set,set,3439247,3439247,3439247,171962.3168456653,171962.3168456653,171962.3168456653,171962.3168456653,5.6955324822555635,5.568,5.631,5.888,5.951,7.36,7.423,"{""read_failure"": 0, ""success"": 3439247, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 3439247}",0.6038295001339803,0.5339523159567661
pooled 0+1,1,point-r050,old,combined,read+write,368073,368073,368073,18403.639185101434,18403.639185101434,18403.639185101434,18403.639185101434,54.22737384703578,53.248,53.759,69.632,70.655,78.848,79.871,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 368073, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 368073}",0.14137409602421439,2.167449612540489
